Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,0.0163062,0.00493765,0.0272532,8.63209e-05,0.127395,1352.8
2,rosenbrock,29.2198,29.0549,0.44121,28.7233,30.6772,1400.02
3,rastrigin,0.0392999,0.0153656,0.0655571,0.000457764,0.384338,1717.68
4,griewangk,0.976316,0.99672,0.0462981,0.779148,0.999916,1445.32
