Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,3.2945e-14,1.15967e-16,1.97834e-13,3.228e-20,1.41362e-12,4361.28
2,rosenbrock,28.7374,28.7637,0.206958,28.023,28.9566,4540.72
3,rastrigin,6.10352e-07,0,4.27246e-06,0,3.05176e-05,5605.1
4,griewangk,1.01447e-06,4.17233e-07,3.79446e-06,0,2.74777e-05,4686.56
