Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,1.51154e-10,3.21371e-14,5.78579e-10,8.2124e-20,3.1444e-09,4310.02
2,rosenbrock,29.3774,28.954,2.74122,28.4966,48.4653,4491.78
3,rastrigin,4.15039e-05,0,0.000255967,0,0.00183105,5552.48
4,griewangk,0.0308222,3.57628e-06,0.127558,0,0.672832,4634.46
