Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,3.82138,0.15129,11.2365,0.00249918,55.9117,1336.62
2,rosenbrock,318.919,31.0554,1142.42,28.8232,5936.35,1384.42
3,rastrigin,3.59049,0.520935,7.24531,0.00357056,33.7628,1699.84
4,griewangk,0.999319,0.999976,0.00194204,0.988902,1,1429.92
