Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,0,0,0,0,0,740256
2,rosenbrock,25.9878,25.9731,0.559416,24.8234,27.0146,442066
3,rastrigin,0,0,0,0,0,613830
4,griewangk,0,0,0,0,0,671244
