Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,0.0627466,0.0116762,0.14574,0.000194929,0.887544,1689.12
2,rosenbrock,30.279,29.1572,4.73464,28.7173,61.291,1744.16
3,rastrigin,0.11747,0.0206299,0.279923,0.00100708,1.46515,1911.22
4,griewangk,0.968309,0.998384,0.115391,0.278409,0.999992,1821.54
