Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,0,0,0,0,0,12960
2,rosenbrock,28.6555,28.7506,0.211082,28.0935,28.9465,13525.4
3,rastrigin,0,0,0,0,0,16741.2
4,griewangk,0,0,0,0,0,13961.2
