Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,5.80976e-12,1.8121e-15,3.93574e-11,8.39042e-19,2.81283e-10,4315.22
2,rosenbrock,28.905,28.9371,0.083908,28.6978,29.0705,4494.92
3,rastrigin,0,0,0,0,0,5549.6
4,griewangk,0.000171033,8.34465e-07,0.000821437,5.96046e-08,0.00428379,4637.14
