Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,11.4168,0.225355,39.8678,0.00136963,224.615,1668.86
2,rosenbrock,27006.9,30.7251,173263,28.8792,1.23472e+06,1724.62
3,rastrigin,8.1012,0.674805,18.3146,0.000396729,89.9688,1886.62
4,griewangk,0.998634,0.999967,0.00444751,0.971519,1,1801.08
