Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,1.46506e-10,5.00361e-14,7.24432e-10,4.55002e-19,4.83528e-09,5426.42
2,rosenbrock,28.9937,28.9488,0.436502,28.3957,31.874,5607.76
3,rastrigin,2.0752e-05,0,0.000108058,0,0.000762939,6149.94
4,griewangk,0.0239179,1.2517e-06,0.101704,5.96046e-08,0.568241,5879.72
