Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,0.198259,0.0491095,0.47253,0.00041742,2.89673,1337.18
2,rosenbrock,45.361,29.5225,65.6232,28.6805,466.588,1384.12
3,rastrigin,0.645769,0.0599976,1.81675,0.000274658,10.9176,1696.36
4,griewangk,0.989332,0.999463,0.0327216,0.794925,0.999998,1429.32
