Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,0.0744743,0.0227358,0.130135,0.00041774,0.622701,1352.86
2,rosenbrock,29.6958,29.2346,1.39937,28.7257,36.908,1400.46
3,rastrigin,0.230065,0.0411224,0.562176,0.000244141,2.85309,1715.7
4,griewangk,0.968611,0.998825,0.0696819,0.600919,0.999948,1444.74
