Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,0.0411188,0.00912518,0.107583,0.000735858,0.739553,1682.88
2,rosenbrock,29.1314,28.9583,0.479455,28.6492,30.7779,1738.7
3,rastrigin,0.0486615,0.0209503,0.0774218,0.00140381,0.447968,1904.72
4,griewangk,0.945871,0.99587,0.121207,0.460057,0.99995,1819.9
