Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,9.92905e-28,8.86622e-28,8.05751e-28,1.75919e-31,2.57558e-27,15141.7
2,rosenbrock,28.9918,28.9935,0.00655558,28.9791,28.9985,15051.6
3,rastrigin,0,0,0,0,0,15106.2
4,griewangk,0,0,0,0,0,15058.3
