Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,0,0,0,0,0,16352.5
2,rosenbrock,28.7326,28.7599,0.176724,28.072,28.9578,16892.1
3,rastrigin,0,0,0,0,0,18519.3
4,griewangk,0,0,0,0,0,17714.7
