Function,Name,Mean,Median,Std,Range(low),Range(high),Time(microseconds)
1,sphere,0.226324,0.0278067,0.511079,0.000844412,2.49235,1669.74
2,rosenbrock,35.3111,29.695,24.6438,28.6474,201.662,1725.14
3,rastrigin,0.609263,0.0918884,1.58999,0.00088501,9.90955,1889.5
4,griewangk,0.981651,0.999306,0.0557696,0.679689,0.999999,1802.34
