"","Name","Mean","Range.low.","SpeedUP","iterations","block","RNG"
"76","griewangk",0.968611,0.600919,56.4587399808962,30,4,"MRG32k3a"
"77","sphere",3.2945e-14,3.228e-20,8.55352098466505,100,4,"MRG32k3a"
"78","rosenbrock",28.7374,28.023,9.86896351239451,100,4,"MRG32k3a"
"79","rastrigin",6.10352e-07,0,12.0631210861537,100,4,"MRG32k3a"
"80","griewangk",1.01447e-06,0,17.4047062237547,100,4,"MRG32k3a"
"81","sphere",0,0,2.87917354861615,300,4,"MRG32k3a"
"82","rosenbrock",28.6874,28.0835,3.31360500454757,300,4,"MRG32k3a"
"83","rastrigin",0,0,4.04197702083906,300,4,"MRG32k3a"
"84","griewangk",0,0,5.84316169517751,300,4,"MRG32k3a"
"85","sphere",0.0163062,8.63209e-05,27.5756209343584,30,6,"MRG32k3a"
"86","rosenbrock",29.2198,28.7233,32.0082570248996,30,6,"MRG32k3a"
"87","rastrigin",0.0392999,0.000457764,39.3641423315169,30,6,"MRG32k3a"
"88","griewangk",0.976316,0.779148,56.4360833587026,30,6,"MRG32k3a"
"89","sphere",2.28486e-15,2.65104e-19,8.55073692896601,100,6,"MRG32k3a"
"90","rosenbrock",28.7541,28.2846,9.86574787547884,100,6,"MRG32k3a"
"91","rastrigin",0,0,12.0459711958497,100,6,"MRG32k3a"
"92","griewangk",3.98159e-07,0,17.4001766294493,100,6,"MRG32k3a"
"93","sphere",0,0,2.87841820987654,300,6,"MRG32k3a"
"94","rosenbrock",28.6555,28.0935,3.31318851937835,300,6,"MRG32k3a"
"95","rastrigin",0,0,4.03883831505507,300,6,"MRG32k3a"
"96","griewangk",0,0,5.84249204939403,300,6,"MRG32k3a"
"97","sphere",11.4168,0.00136963,22.3531632371799,30,1,"philox4"
"98","rosenbrock",27006.9,28.8792,25.983810926465,30,1,"philox4"
"99","rastrigin",8.1012,0.000396729,35.8392257052295,30,1,"philox4"
"100","griewangk",0.998634,0.971519,45.2884935705244,30,1,"philox4"
"101","sphere",1.46506e-10,4.55002e-19,6.87456923717663,100,1,"philox4"
"102","rosenbrock",28.9937,28.3957,7.99110518281809,100,1,"philox4"
"103","rastrigin",2.0752e-05,0,10.9944162056866,100,1,"philox4"
"104","griewangk",0.0239179,5.96046e-08,13.8728034668318,100,1,"philox4"
"105","sphere",2.32489e-40,0,2.30401457599901,300,1,"philox4"
"106","rosenbrock",28.907,28.3057,2.68076476711214,300,1,"philox4"
"107","rastrigin",2.44141e-06,0,3.68872134510262,300,1,"philox4"
"108","griewangk",3.57628e-09,0,4.65176305539239,300,1,"philox4"
"109","sphere",0.226324,0.000844412,22.3413824906872,30,2,"philox4"
"110","rosenbrock",35.3111,28.6474,25.975978761144,30,2,"philox4"
"111","rastrigin",0.609263,0.00088501,35.7845991002911,30,2,"philox4"
"112","griewangk",0.981651,0.679689,45.2568327840474,30,2,"philox4"
"113","sphere",9.71682e-13,5.79355e-20,6.86993561789145,100,2,"philox4"
"114","rosenbrock",28.8627,28.2291,7.98879733589095,100,2,"philox4"
"115","rastrigin",0,0,10.9983148333702,100,2,"philox4"
"116","griewangk",0.00182437,0,13.8679918935829,100,2,"philox4"
"117","sphere",0,0,2.30444156165061,300,2,"philox4"
"118","rosenbrock",28.8506,28.5595,2.67967469951564,300,2,"philox4"
"119","rastrigin",0,0,3.68783611314127,300,2,"philox4"
"120","griewangk",0,0,4.65186917220337,300,2,"philox4"
"121","sphere",0.0627466,0.000194929,22.0850502036563,30,4,"philox4"
"122","rosenbrock",30.279,28.7173,25.6927116778277,30,4,"philox4"
"123","rastrigin",0.11747,0.00100708,35.3779261414175,30,4,"philox4"
"124","griewangk",0.968309,0.278409,44.7798017062486,30,4,"philox4"
"125","sphere",1.48866e-14,1.60418e-19,6.79834744480852,100,4,"philox4"
"126","rosenbrock",28.7786,27.9608,7.90257786681433,100,4,"philox4"
"127","rastrigin",0,0,10.8782740202072,100,4,"philox4"
"128","griewangk",5.05447e-07,0,13.7219020318351,100,4,"philox4"
"129","sphere",0,0,2.28125974621617,300,4,"philox4"
"130","rosenbrock",28.7326,28.072,2.65284955689346,300,4,"philox4"
